Flag country,Secrecy Jurisdiction,Global Rank as Maritime Flag CIA Factbook,Geography,UK Connection,Population,Oil Producing Rank*,Thousand barrels per day,Blurb,FSI Secrecy Score,FSI Rank,FSI URL,Vessels/Shipping State Info,Open to foreign entities with no economic activity in jurisdiction,Total vessel CIA Factbook 2010-2012,Foreign Owned CIA Factbook 2010-2012,Registered in other countries 2010-2012,Biggest foreign client Cia Factbook 2010-2012,Biggest national registered elsewhere,Oil tankers 2010-2012,Liquified Gas,CIA Factbook Link*,Offshore entities,*Mundi,Banking Secrecy FSI,Recorded Corporate Ownership FSI ,Trust and Foundations Register FSI,Public Company Ownership FSI,Public Company Accounts FSI ,Information Exchange FSI ,Avoids Promoting Tax Avoidance FSI,Efficiency of Tax Administration FSI,Harmful Legal Vehicles,Anti-Money Laundering,Bilateral Treaties,International Transparency Commitments,International Judicial Cooperation,News or References
Malta,Yes,4,Southern Europe,,423383,No,0,,44,64,http://www.financialsecrecyindex.com/PDF/Malta.pdf,http://www.justiceservices.gov.mt/DownloadDocument.aspx?app=lom&itemid=8734,Yes,1650,1437,2,"Greece,Turkey",Panama,160,36,https://www.cia.gov/library/publications/the-world-factbook/geos/mt.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Does not disclose or prevent trusts and foundation,Partly requires that company ownership details are publicly available,Requires that company accounts be available on public record,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Partly avoids promoting tax evasion via a tax credit system,Partly uses appropriate tools for efficiently analysing tax related information,Allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Malta had at least 46 bilateral tax information sharing",Ratified relevant international treaties relating to financial transparency,Cooperates with other states on money laundering and other criminal issues,http://www.nytimes.com/2010/06/08/world/middleeast/08sanctions.html?pagewanted=all
Bahamas,Yes,10,Americas,,377374,No,0,,80,35,http://www.financialsecrecyindex.com/PDF/Bahamas.pdf,http://www.bahamasmaritime.com/includes/tng/pub/tNG_download4.php?page=84&KT_download1=a3c037008a15b1165f8982bc3ff9edb0,Yes,1160,1063,6,"Greece, USA",Panama,225,71,https://www.cia.gov/library/publications/the-world-factbook/geos/bf.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Does not disclose or prevent trusts and foundation,Does not require that company ownership details are publicly available,Does not require that company accounts be available on public record,Does not require resident paying agents to tell the domestic tax authorities,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Bahamas had less than 46 tax information sharing agreements",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,http://www.cbc.ca/news2/background/martin_paul/flagsofconvenience.html
Cyprus,Yes,13,Eastern Mediterranean ,,1.1m,No,0,,52,41,http://www.financialsecrecyindex.com/PDF/Cyprus.pdf,http://www.mcw.gov.cy/mcw/dms/dms.nsf/3acf710d541a3e29c2257500004c21df/c0574b8e64035ef4c22576c000264e61?OpenDocument,Yes,838,622,152,Russia,Malta,62,11,https://www.cia.gov/library/publications/the-world-factbook/geos/cy.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Does not require that company ownership details are publicly available,Does not require that company accounts be available on public record,Does not require resident paying agents to tell the domestic tax authorities,Partly avoids promoting tax evasion via a tax credit system,Partly uses appropriate tools for efficiently analysing tax related information,Partly allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Cyprus had less than 46 tax information sharing agreements",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,file:///C:/Users/xute/Downloads/flag_state_performance.pdf
Antigua and Barbuda,Yes,9,Caribbean ,,89985,No,0,,80,67,http://www.financialsecrecyindex.com/PDF/AntiguaBarbuda.pdf,http://abregistry.ag/wp-content/uploads/2014/11/circIRON.pdf,Yes,1257,1215,tbc,Germany,----,tbc,12,https://www.cia.gov/library/publications/the-world-factbook/geos/ac.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Does not disclose or prevent trusts and foundation,Does not require that company ownership details are publicly available,Does not require that company accounts be available on public record,Does not require resident paying agents to tell the domestic tax authorities,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Allows harmful legal vehicles,Does not comply with international anti-money laundering standards,"As of 31 May, 2012, Antigua and Barbuda had less than 46 tax information sharing",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,http://www.sirc.cf.ac.uk/fsa.aspx
Netherlands ,Yes,15,Western Europe,,16.8m,58,11,,50,39,http://www.financialsecrecyindex.com/PDF/Netherlands.pdf,http://www.ilent.nl/english/merchant_shipping/ship_owners_dutch_flag/legislation/,Yes,744,196,233,Germany,"Gibraltor, Curacao",4,21,https://www.cia.gov/library/publications/the-world-factbook/geos/nl.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Does not require that company ownership details are publicly available,Does not require that company accounts be available on public record,Partly requires resident paying agents to tell the domestic tax,Does not avoid promoting tax evasion via a tax credit system,Uses appropriate tools for efficiently analysing tax related information,Partly allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Netherlands had at least 46 bilateral tax information sharing",Ratified relevant international treaties relating to financial,Does not cooperate with other states on money laundering and other criminal,http://www.cruiseresearch.org/Legal%20Issues%20Relevant%20to%20Cruise%20Ships.html
Nigeria,No,54,West Africa,,177 million,,2367,,----,----,------,http://www.nigeria-law.org/Coastal%20and%20Inland%20Shipping%20%28Cabotage%29%20Act.htm,Yes,89,3,33,--,Bermuda,56,1,https://www.cia.gov/library/publications/the-world-factbook/geos/ni.html,,http://www.indexmundi.com/energy.aspx?country=ng&product=oil&graph=production,,,,online,,authorities about payments to non-residents,,,,,agreements complying with basic OECD requirements,transparency,,
Bermuda ,Yes,41,North America,,68839,No,0,,80,14,http://www.financialsecrecyindex.com/PDF/Bermuda.pdf,,Yes,139,105,241,USA,"Philippines, Marshall Islands",19,43,https://www.cia.gov/library/publications/the-world-factbook/geos/bd.html,,,Does not adequately curtail banking secrecy ,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations, Does not require that company ownership details are publicly available, Does not require that company accounts be available on public record, Does not require resident paying agents to tell the domestic tax authorities, Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related, Allows harmful legal vehicles,Does not comply with international anti-money laundering standards,"As of 31 May, 2012, Bermuda had less than 46 tax information sharing agreements",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and other,
Curacao,Yes,Unknown ,,,,,,,77,58,http://www.financialsecrecyindex.com/PDF/Curacao.pdf,,,,,,,,,,,,,,,,online,,about payments to non-residents,,information,,,complying with basic OECD requirement,transparency,criminal issues,
Switzerland,Yes,78,,,,,,,78,1,http://www.financialsecrecyindex.com/PDF/Switzerland.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Yes,46,,,,,,,70,4,http://www.financialsecrecyindex.com/PDF/CaymanIslands.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Partly,19,,,,,,,42,50,http://www.financialsecrecyindex.com/PDF/Norway.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
UAE,Yes,65,,,,,,,79,16,http://www.financialsecrecyindex.com/PDF/UnitedArabEmirates_Dubai.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Yes,36,,,,,,,41,43,http://www.financialsecrecyindex.com/PDF/France.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Yes (via Lubuan),31,,,,,,,80,12,http://www.financialsecrecyindex.com/PDF/Malaysia_Labuan.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,Yes (via London and related territories),22,,,,,,,40,21,http://www.financialsecrecyindex.com/PDF/UnitedKingdom.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
US,,,,,,,,,58,6,http://www.financialsecrecyindex.com/PDF/USA.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,33,66,http://www.financialsecrecyindex.com/PDF/Denmark.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,36,56,http://www.financialsecrecyindex.com/PDF/Spain.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,47,44,http://www.financialsecrecyindex.com/PDF/Australia.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
